Part Number,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-12,2026-01,2026-02,2026-03
EEFSX0E471XEEF1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0F331XE,14000.0,21000.0,38684.0,38290.0,19123.0,35000.0,35000.0,,,,,
EEFSX0F331XEEA1,,,,0.0,0.0,-24.5,-28.0,-10.5,0.0,0.0,0.0,0.0
EEFSX0G221ER,86000.0,406500.0,369214.0,253637.0,451906.0,318134.04913,321660.986835,,,,,
EEFSX0G221ERE00,,,,-311.5,-255.5,-241.5,-269.5,-241.5,-238.0,-182.0,-143.5,-143.5
EEFSX0G271ER,0.0,0.0,0.0,0.0,0.0,601.27594,0.0,,,,,
EEFSX0G271EREA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0G271ERWA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0G331ER,0.0,0.0,0.0,0.0,0.0,216.68875,1.1200000000000002e-21,,,,,
EEFSX0G331EREA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0G331EY,0.0,0.0,0.0,0.0,0.0,100935.22,117613.625,,,,,
EEFSX0G331EYEA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0G331XE,423500.0,538500.0,390261.0,499549.0,429365.0,514570.595,553690.148,,,,,
EEFSX0G331XEEA1,,,,-315.0,-420.0,-346.5,-469.0,-556.5,-455.0,-479.5,-469.0,-469.0
EEFSX0J151ER,3500.0,0.0,2452.0,2473.0,2528.0,6785.508,8373.6455,,,,,
EEFSX0J151ER200,,,,-7.0,-7.0,-7.0,-7.0,-10.5,-3.5,0.0,0.0,0.0
EEFSX0J181E5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEFSX0J181ER,147000.0,77000.0,38500.0,84000.0,66500.0,52500.0,101500.0,,,,,
EEFSX0J181EREA1,,,,-77.0,-164.5,-140.0,-94.5,-98.0,-84.0,-77.0,-35.0,-38.5
EEFSX0J221ER,756000.0,619500.0,906906.0,661614.0,846028.0,796370.271,723573.206,,,,,
EEFSX0J221EREA1,,,,-1106.0,-969.5,-2506.0,-1746.5,-1529.5,-1291.5,-1172.5,-973.0,-994.0
EEFSX0K221QR,406000.0,350000.0,279739.0,228831.0,187958.0,201638.08,214993.03,,,,,
EEFSX0K221QRWA1,,,,-269.5,-301.0,-301.0,-318.5,-322.0,-297.5,-315.0,-311.5,-308.0
EEFSX0P561E4,322000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEFSX0P561E4EB1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0P561XE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEFSX0P561XEEB1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJCX0G221R EA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJCX1A101YR,1102500.0,700000.0,988732.0,869099.0,996308.0,1206284.1,1073173.8,,,,,
EEJCX1A101YREA1,,,,-1228.5,-1368.5,-1627.5,-1190.0,-1085.0,-941.5,-920.5,-973.0,-1039.5
EEJRX0D221KY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEJRX0J101R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEJRX0J101R EA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJRX0J151R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEJRX0J151R E00,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJRX0J151R EB1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJRX0J151YREB1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJSX0D221EY,14000.0,10500.0,82897.0,9897.0,10244.0,283786.648,330453.506,,,,,
EEJSX0D221EYE00,,,,-7.0,0.0,0.0,-3.5,-7.0,-3.5,-7.0,-7.0,-7.0
EEJSX0D331EREA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJSX0D391EREA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJSX0D471EREB1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJSX0E331ER,1505000.0,1015000.0,396913.0,764557.0,1495171.0,1470000.0,1470000.0,,,,,
EEJSX0E331EREA1,,,,-112.0,-129.5,-154.0,-147.0,-115.5,-101.5,-108.5,-112.0,-101.5
EEJSX0E331ERHA1,,,,-385.0,0.0,-119.0,-1305.5,-1494.5,-941.5,-668.5,-577.5,-689.5
Total,,,,-185342.5,-211816.5,-208414.5,-204928.5,-201565.0,-155050.0,-154700.0,-133350.0,-132650.0
